Student: 0.0, Chaotic: NaN, Goal: NaN, Queue: 0.0, tick: 1.0, run: 1
Student: 33.499999999999986, Chaotic: 60.0, Goal: 13.0, Queue: 22.0, tick: 901.0, run: 1
Student: 35.0, Chaotic: 61.0, Goal: 15.0, Queue: 19.0, tick: 916.0, run: 1
Student: 27.899999999999995, Chaotic: 47.0, Goal: 17.0, Queue: 18.0, tick: 931.0, run: 1
Student: 30.049999999999994, Chaotic: 51.0, Goal: 20.0, Queue: 18.0, tick: 946.0, run: 1
Student: 28.09523809523809, Chaotic: 45.0, Goal: 22.0, Queue: 21.0, tick: 961.0, run: 1
Student: 27.599999999999998, Chaotic: 47.0, Goal: 13.0, Queue: 19.0, tick: 976.0, run: 1
Student: 29.666666666666668, Chaotic: 49.0, Goal: 15.0, Queue: 19.0, tick: 991.0, run: 1
Student: 27.049999999999997, Chaotic: 38.0, Goal: 17.0, Queue: 23.0, tick: 1006.0, run: 1
Student: 26.666666666666664, Chaotic: 34.0, Goal: 19.0, Queue: 25.0, tick: 1021.0, run: 1
Student: 27.47058823529412, Chaotic: 37.0, Goal: 21.0, Queue: 23.0, tick: 1036.0, run: 1
Student: 29.000000000000004, Chaotic: 38.0, Goal: 23.0, Queue: 26.0, tick: 1051.0, run: 1
Student: 29.933333333333334, Chaotic: 41.0, Goal: 25.0, Queue: 24.0, tick: 1066.0, run: 1
Student: 30.571428571428573, Chaotic: 43.0, Goal: 27.0, Queue: 21.0, tick: 1081.0, run: 1
Student: 32.92857142857143, Chaotic: 46.0, Goal: 29.0, Queue: 23.0, tick: 1096.0, run: 1
Student: 26.249999999999996, Chaotic: 22.0, Goal: 31.0, Queue: 25.0, tick: 1111.0, run: 1
Student: 26.636363636363637, Chaotic: 23.0, Goal: 33.0, Queue: 23.0, tick: 1126.0, run: 1
Student: 28.272727272727273, Chaotic: 25.0, Goal: 35.0, Queue: 24.0, tick: 1141.0, run: 1
Student: 29.2, Chaotic: 20.0, Goal: 37.0, Queue: 26.0, tick: 1156.0, run: 1
Student: 27.333333333333332, Chaotic: 21.0, Goal: 39.0, Queue: 16.0, tick: 1171.0, run: 1
Student: 28.77777777777778, Chaotic: 22.0, Goal: 41.0, Queue: 17.0, tick: 1186.0, run: 1
Student: 30.5, Chaotic: 23.0, Goal: 43.0, Queue: 13.0, tick: 1201.0, run: 1
Student: 22.5, Chaotic: 10.0, Goal: 33.0, Queue: 13.0, tick: 1216.0, run: 1
Student: 23.333333333333332, Chaotic: 10.0, Goal: 34.0, Queue: 14.0, tick: 1231.0, run: 1
Student: 24.833333333333336, Chaotic: 11.0, Goal: 36.0, Queue: 15.0, tick: 1246.0, run: 1
Student: 25.666666666666668, Chaotic: 11.0, Goal: 37.0, Queue: 16.0, tick: 1261.0, run: 1
Student: 18.4, Chaotic: 12.0, Goal: 24.0, Queue: 16.0, tick: 1276.0, run: 1
Student: 19.2, Chaotic: 12.0, Goal: 25.0, Queue: 17.0, tick: 1291.0, run: 1
Student: 20.2, Chaotic: 13.0, Goal: 26.0, Queue: 18.0, tick: 1306.0, run: 1
Student: 21.0, Chaotic: 13.0, Goal: 27.0, Queue: 19.0, tick: 1321.0, run: 1
Student: 21.6, Chaotic: 14.0, Goal: 28.0, Queue: 19.0, tick: 1336.0, run: 1
Student: 17.0, Chaotic: 14.0, Goal: 14.0, Queue: 20.0, tick: 1351.0, run: 1
Student: 17.75, Chaotic: 15.0, Goal: 14.0, Queue: 21.0, tick: 1366.0, run: 1
Student: 18.5, Chaotic: 15.0, Goal: 15.0, Queue: 22.0, tick: 1381.0, run: 1
Student: 18.75, Chaotic: 16.0, Goal: 15.0, Queue: 22.0, tick: 1396.0, run: 1
