run: 1, tick: 1126.0, Student: 11, Chaotic: 3, Goal: 4, Queue: 4
run: 1, tick: 1141.0, Student: 11, Chaotic: 3, Goal: 4, Queue: 4
run: 1, tick: 1156.0, Student: 10, Chaotic: 2, Goal: 4, Queue: 4
run: 1, tick: 1171.0, Student: 9, Chaotic: 2, Goal: 4, Queue: 3
run: 1, tick: 1186.0, Student: 9, Chaotic: 2, Goal: 4, Queue: 3
run: 1, tick: 1201.0, Student: 8, Chaotic: 2, Goal: 4, Queue: 2
run: 1, tick: 1216.0, Student: 6, Chaotic: 1, Goal: 3, Queue: 2
run: 1, tick: 1231.0, Student: 6, Chaotic: 1, Goal: 3, Queue: 2
run: 1, tick: 1246.0, Student: 6, Chaotic: 1, Goal: 3, Queue: 2
run: 1, tick: 1261.0, Student: 6, Chaotic: 1, Goal: 3, Queue: 2
run: 1, tick: 1276.0, Student: 5, Chaotic: 1, Goal: 2, Queue: 2
run: 1, tick: 1291.0, Student: 5, Chaotic: 1, Goal: 2, Queue: 2
run: 1, tick: 1306.0, Student: 5, Chaotic: 1, Goal: 2, Queue: 2
run: 1, tick: 1321.0, Student: 5, Chaotic: 1, Goal: 2, Queue: 2
run: 1, tick: 1336.0, Student: 5, Chaotic: 1, Goal: 2, Queue: 2
run: 1, tick: 1351.0, Student: 4, Chaotic: 1, Goal: 1, Queue: 2
run: 1, tick: 1366.0, Student: 4, Chaotic: 1, Goal: 1, Queue: 2
run: 1, tick: 1381.0, Student: 4, Chaotic: 1, Goal: 1, Queue: 2
run: 1, tick: 1396.0, Student: 4, Chaotic: 1, Goal: 1, Queue: 2
run: 1, tick: 1411.0, Student: 3, Chaotic: 1, Goal: 0, Queue: 2
run: 1, tick: 1426.0, Student: 3, Chaotic: 1, Goal: 0, Queue: 2
run: 1, tick: 1441.0, Student: 3, Chaotic: 1, Goal: 0, Queue: 2
run: 1, tick: 1456.0, Student: 3, Chaotic: 1, Goal: 0, Queue: 2
run: 1, tick: 1471.0, Student: 2, Chaotic: 0, Goal: 0, Queue: 2
run: 1, tick: 1486.0, Student: 2, Chaotic: 0, Goal: 0, Queue: 2
run: 1, tick: 1501.0, Student: 2, Chaotic: 0, Goal: 0, Queue: 2
run: 1, tick: 1516.0, Student: 2, Chaotic: 0, Goal: 0, Queue: 2
run: 1, tick: 1531.0, Student: 1, Chaotic: 0, Goal: 0, Queue: 1
run: 1, tick: 1546.0, Student: 1, Chaotic: 0, Goal: 0, Queue: 1
run: 1, tick: 1561.0, Student: 1, Chaotic: 0, Goal: 0, Queue: 1
run: 1, tick: 1576.0, Student: 1, Chaotic: 0, Goal: 0, Queue: 1
run: 1, tick: 1584.01, Student: 0, Chaotic: 0, Goal: 0, Queue: 0
